c,x,y,w,h,d,t
4,87,95,24,24,2020-02-27,16:15:02.632734
4,0,0,0,0,2020-02-27,16:15:03.186191
4,0,0,0,0,2020-02-27,16:15:03.268969
4,0,0,0,0,2020-02-27,16:15:03.344767
4,88,99,20,20,2020-02-27,16:15:03.426548
4,0,0,0,0,2020-02-27,16:15:03.506334
4,0,0,0,0,2020-02-27,16:15:03.598089
4,0,0,0,0,2020-02-27,16:15:03.691838
4,0,0,0,0,2020-02-27,16:15:03.786586
4,0,0,0,0,2020-02-27,16:15:03.870868
4,0,0,0,0,2020-02-27,16:15:03.961133
4,0,0,0,0,2020-02-27,16:15:04.067847
4,0,0,0,0,2020-02-27,16:15:04.166583
4,0,0,0,0,2020-02-27,16:15:04.974359
4,89,97,27,27,2020-02-27,16:15:05.058612
4,0,0,0,0,2020-02-27,16:15:05.139504
4,0,0,0,0,2020-02-27,16:15:05.223280
4,0,0,0,0,2020-02-27,16:15:05.316033
4,0,0,0,0,2020-02-27,16:15:05.406789
4,0,0,0,0,2020-02-27,16:15:05.498544
4,92,102,22,22,2020-02-27,16:15:05.579328
4,0,0,0,0,2020-02-27,16:15:05.666098
4,0,0,0,0,2020-02-27,16:15:05.749871
4,0,0,0,0,2020-02-27,16:15:05.832650
4,0,0,0,0,2020-02-27,16:15:05.930897
4,0,0,0,0,2020-02-27,16:15:06.749029
4,84,138,24,24,2020-02-27,16:15:06.833802
4,94,103,22,22,2020-02-27,16:15:06.833802
4,0,0,0,0,2020-02-27,16:15:06.914589
4,0,0,0,0,2020-02-27,16:15:07.000357
4,0,0,0,0,2020-02-27,16:15:07.092110
4,0,0,0,0,2020-02-27,16:15:07.176886
4,0,0,0,0,2020-02-27,16:15:07.258175
4,0,0,0,0,2020-02-27,16:15:07.341952
4,0,0,0,0,2020-02-27,16:15:07.419816
4,0,0,0,0,2020-02-27,16:15:07.496560
4,0,0,0,0,2020-02-27,16:15:07.600314
4,90,99,22,22,2020-02-27,16:15:07.757371
4,92,102,22,22,2020-02-27,16:15:07.852623
4,0,0,0,0,2020-02-27,16:15:07.947879
4,0,0,0,0,2020-02-27,16:15:08.037147
4,86,97,22,22,2020-02-27,16:15:08.132891
4,0,0,0,0,2020-02-27,16:15:08.219720
4,0,0,0,0,2020-02-27,16:15:08.307484
4,0,0,0,0,2020-02-27,16:15:08.390263
4,0,0,0,0,2020-02-27,16:15:08.480023
4,0,0,0,0,2020-02-27,16:15:08.562801
4,92,101,22,22,2020-02-27,16:15:08.645580
4,0,0,0,0,2020-02-27,16:15:08.736338
4,0,0,0,0,2020-02-27,16:15:08.920078
4,0,0,0,0,2020-02-27,16:15:09.023891
4,0,0,0,0,2020-02-27,16:15:09.115646
4,0,0,0,0,2020-02-27,16:15:09.199421
4,0,0,0,0,2020-02-27,16:15:09.319105
4,90,100,22,22,2020-02-27,16:15:09.415849
4,0,0,0,0,2020-02-27,16:15:09.513597
4,0,0,0,0,2020-02-27,16:15:09.604354
4,0,0,0,0,2020-02-27,16:15:09.699101
4,0,0,0,0,2020-02-27,16:15:09.797346
4,0,0,0,0,2020-02-27,16:15:09.905567
4,15,3,132,132,2020-02-27,16:15:09.993548
4,0,0,0,0,2020-02-27,16:15:10.818282
4,0,0,0,0,2020-02-27,16:15:10.820276
4,0,0,0,0,2020-02-27,16:15:10.896278
4,0,0,0,0,2020-02-27,16:15:10.985040
4,0,0,0,0,2020-02-27,16:15:11.070810
4,88,98,24,24,2020-02-27,16:15:11.153631
4,0,0,0,0,2020-02-27,16:15:11.235412
4,0,0,0,0,2020-02-27,16:15:11.325172
4,86,96,26,26,2020-02-27,16:15:11.409945
4,0,0,0,0,2020-02-27,16:15:11.488243
4,83,95,25,25,2020-02-27,16:15:11.573016
4,0,0,0,0,2020-02-27,16:15:11.664771
4,0,0,0,0,2020-03-03,00:23:38.776320
4,0,0,0,0,2020-03-03,00:23:38.888022
4,0,0,0,0,2020-03-03,00:23:38.964822
4,0,0,0,0,2020-03-03,00:23:39.072527
4,0,0,0,0,2020-03-03,00:23:39.154309
4,0,0,0,0,2020-03-03,00:23:39.247062
4,0,0,0,0,2020-03-03,00:23:39.336821
4,0,0,0,0,2020-03-03,00:23:39.443535
4,0,0,0,0,2020-03-03,00:23:39.540278
4,0,0,0,0,2020-03-03,00:23:39.624052
4,0,0,0,0,2020-03-03,00:23:39.720793
4,0,0,0,0,2020-03-03,00:23:39.814544
4,0,0,0,0,2020-03-03,00:23:40.038942
4,0,0,0,0,2020-03-03,00:23:40.121721
4,0,0,0,0,2020-03-03,00:23:40.207491
4,0,0,0,0,2020-03-03,00:23:40.311214
4,0,0,0,0,2020-03-03,00:23:40.401985
4,0,0,0,0,2020-03-03,00:23:40.505694
4,0,0,0,0,2020-03-03,00:23:40.583489
4,0,0,0,0,2020-03-03,00:23:40.682224
4,0,0,0,0,2020-03-03,00:23:40.769987
4,0,0,0,0,2020-03-03,00:23:40.839800
4,0,0,0,0,2020-03-03,00:23:40.924572
4,0,0,0,0,2020-03-03,00:23:40.994386
4,0,0,0,0,2020-03-03,00:23:41.127031
4,0,0,0,0,2020-03-03,00:23:41.199836
4,0,0,0,0,2020-03-03,00:23:41.278625
4,0,0,0,0,2020-03-03,00:23:41.366391
4,0,0,0,0,2020-03-03,00:23:41.467121
4,0,0,0,0,2020-03-03,00:23:41.547906
4,0,0,0,0,2020-03-03,00:23:41.622704
4,0,0,0,0,2020-03-03,00:23:41.688528
4,0,0,0,0,2020-03-03,00:23:41.758341
4,0,0,0,0,2020-03-03,00:23:41.866054
4,0,0,0,0,2020-03-03,00:23:41.939858
4,0,0,0,0,2020-03-03,00:23:42.010666
4,0,0,0,0,2020-03-03,00:23:42.123364
4,0,0,0,0,2020-03-03,00:23:42.193178
4,0,0,0,0,2020-03-03,00:23:42.275961
4,0,0,0,0,2020-03-03,00:23:42.345770
4,0,0,0,0,2020-03-03,00:23:42.427551
4,0,0,0,0,2020-03-03,00:23:42.498361
4,0,0,0,0,2020-03-03,00:23:42.581144
4,0,0,0,0,2020-03-03,00:23:42.666914
4,0,0,0,0,2020-03-03,00:23:42.735730
4,0,0,0,0,2020-03-03,00:23:42.834484
